time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-31T23:47:44.170Z,17.9433333333333,-66.9965,5.77,2.5,md,5,226,,0.06,pr,pr71342883,2022-04-01T00:20:47.640Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.5,0.85,0.0201163297098734,4,reviewed,pr,pr
2022-03-31T23:32:34.458Z,-22.807,171.0845,10,4.6,mb,,72,3.364,0.65,us,us7000gzwg,2022-06-04T20:42:32.040Z,"southeast of the Loyalty Islands",earthquake,7.8,1.9,0.173,10,reviewed,us,us
2022-03-31T23:18:16.617Z,-4.8078,139.4267,10,5.2,mb,,20,7.403,0.79,us,us7000gyu7,2022-06-04T20:42:32.040Z,"252 km NW of Kiunga, Papua New Guinea",earthquake,7.2,1.8,0.047,148,reviewed,us,us
2022-03-31T23:13:42.735Z,-22.8819,170.8071,10,4.4,mb,,154,3.113,0.39,us,us7000gzwh,2022-06-04T20:42:32.040Z,"southeast of the Loyalty Islands",earthquake,7.7,2,0.24,5,reviewed,us,us
2022-03-31T23:13:07.561Z,41.4193,72.9097,10,4.2,mb,,56,0.11,1.04,us,us7000gyu5,2022-06-04T20:42:32.040Z,"44 km NNE of Bazar-Korgon, Kyrgyzstan",earthquake,4.6,1.9,0.115,22,reviewed,us,us
2022-03-31T22:52:30.152Z,42.9775,-126.7902,10,2.9,ml,,207,1.831,0.64,us,us7000gyu2,2022-06-04T20:42:31.040Z,"189 km W of Port Orford, Oregon",earthquake,5.5,2,0.045,66,reviewed,us,us
2022-03-31T22:50:08.980Z,55.7841,-159.7002,80,3.7,ml,,,,0.64,ak,ak022457ri7o,2022-06-04T20:42:31.040Z,"18 km SW of Ivanof Bay, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-03-31T22:39:04.670Z,36.8105,-121.5395,5.84,3.33,ml,114,29,0.02999,0.18,nc,nc73712821,2022-06-04T20:42:31.040Z,"4km S of San Juan Bautista, CA",earthquake,0.14,0.23,0.146,123,reviewed,nc,nc
2022-03-31T22:33:18.176Z,-22.8543,170.5397,10,4.5,mb,,110,2.865,0.72,us,us7000gzwd,2022-06-04T20:42:31.040Z,"southeast of the Loyalty Islands",earthquake,9.1,1.9,0.172,10,reviewed,us,us
2022-03-31T21:59:43.589Z,-22.6296,170.7582,10,5.1,mb,,33,3.059,0.85,us,us7000gyts,2022-06-04T20:42:31.040Z,"southeast of the Loyalty Islands",earthquake,7.9,1.8,0.068,71,reviewed,us,us
2022-03-31T21:54:39.802Z,-5.9993,-76.9011,127.47,4.3,mb,,75,1.863,0.48,us,us7000gytq,2022-06-04T20:42:31.040Z,"8 km ENE of Moyobamba, Peru",earthquake,7.5,7,0.133,16,reviewed,us,us
2022-03-31T20:45:25.057Z,-60.5837,-25.4052,10,4.4,mb,,197,14.255,0.54,us,us7000gzwp,2022-06-04T20:42:31.040Z,"South Sandwich Islands region",earthquake,14.8,1.9,0.162,11,reviewed,us,us
2022-03-31T20:09:49.692Z,-22.6294,170.5407,10,4.5,mb,,105,2.859,0.99,us,us7000gzw9,2022-06-04T20:42:31.040Z,"299 km ESE of Tadine, New Caledonia",earthquake,5.1,1.9,0.156,12,reviewed,us,us
2022-03-31T20:01:07.115Z,11.5683,141.0744,10,4.7,mb,,43,4.213,0.71,us,us7000gzwm,2022-06-04T20:42:31.040Z,"208 km NNE of Fais, Micronesia",earthquake,9.5,1.9,0.072,59,reviewed,us,us
2022-03-31T19:50:40.985Z,-22.6577,170.8084,20,6.4,mww,,33,3.106,0.97,us,us7000gysz,2022-06-04T20:42:31.040Z,"southeast of the Loyalty Islands",earthquake,7.9,1.8,0.034,81,reviewed,us,us
2022-03-31T18:55:33.454Z,53.1552,-173.335,201.47,3.9,mb,,136,0.901,0.72,us,us7000gysl,2022-06-04T20:42:31.040Z,"121 km NNE of Atka, Alaska",earthquake,9.9,6.3,0.155,11,reviewed,us,us
2022-03-31T18:19:30.749Z,46.1482,150.9375,112.77,5,mww,,74,6.241,0.82,us,us7000gysf,2022-06-04T20:42:31.040Z,"259 km ENE of Kuril’sk, Russia",earthquake,4.7,4.1,0.073,18,reviewed,us,us
2022-03-31T18:02:25.987Z,-37.1299,-94.7188,10,4.9,mb,,64,17.995,1.05,us,us7000gysc,2022-06-04T20:42:31.040Z,"West Chile Rise",earthquake,14.7,1.9,0.084,44,reviewed,us,us
