time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-15T23:52:07.457Z,26.6556,54.2638,10,4.1,mb,,117,2.441,0.83,us,us7000hhnx,2022-06-16T00:04:29.040Z,"26 km ENE of K?sh, Iran",earthquake,8.1,2,0.144,13,reviewed,us,us
2022-06-15T22:23:44.855Z,23.8505,143.2625,10,5,mb,,85,12.673,0.91,us,us7000hhng,2022-06-15T22:41:27.040Z,"Volcano Islands, Japan region",earthquake,10.6,1.8,0.044,162,reviewed,us,us
2022-06-15T22:17:29.586Z,-22.8803,-179.0682,531.95,4.5,mb,,132,5.779,0.96,us,us7000hhn7,2022-06-15T22:35:39.040Z,"south of the Fiji Islands",earthquake,12.1,15.8,0.14,15,reviewed,us,us
2022-06-15T21:54:33.450Z,18.6046,-65.0581,31,3.53,md,14,252,0.2689,0.18,pr,pr2022166001,2022-06-15T22:29:04.040Z,"32 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,0.95,1.33,0.05,12,reviewed,pr,pr
2022-06-15T20:58:13.747Z,26.6872,54.2704,10,4.2,mb,,116,2.459,0.81,us,us7000hhma,2022-06-16T20:43:39.040Z,"28 km ENE of K?sh, Iran",earthquake,5.5,1.9,0.136,15,reviewed,us,us
2022-06-15T19:36:54.350Z,19.1606666666667,-155.493,35.96,3.28,ml,47,123,,0.1,hv,hv73044897,2022-06-16T20:49:02.213Z,"4 km SSW of P?hala, Hawaii",earthquake,0.42,0.57,0.155002948741391,30,reviewed,hv,hv
2022-06-15T19:13:52.136Z,-8.4517,121.3351,197.74,4.5,mb,,89,0.911,0.6,us,us7000hhlf,2022-06-16T20:15:55.040Z,"56 km NW of Ende, Indonesia",earthquake,7.8,9.3,0.221,6,reviewed,us,us
2022-06-15T18:07:51.140Z,26.5182,54.2165,10,4,mb,,120,2.38,0.99,us,us7000hhl5,2022-06-15T19:09:41.040Z,"20 km ESE of K?sh, Iran",earthquake,10.5,2,0.163,10,reviewed,us,us
2022-06-15T15:51:41.560Z,19.1403333333333,-155.477,33.27,2.65,ml,46,163,,0.11,hv,hv73044677,2022-06-17T04:09:17.040Z,"6 km S of P?hala, Hawaii",earthquake,0.43,0.62,0.151651916285088,14,reviewed,hv,hv
2022-06-15T15:37:33.250Z,19.3085,-65.1301,56,3.93,md,13,311,1.2828,0.29,pr,pr2022166000,2022-06-17T03:42:44.040Z,"109 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.52,10.5,0.08,10,reviewed,pr,pr
2022-06-15T15:22:24.483Z,63.1718,-149.1891,71,2.5,ml,,,,0.56,ak,ak0227ms9vnu,2022-06-17T03:16:44.040Z,"27 km SSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-06-15T14:23:14.084Z,60.0855,-140.1072,0,2.6,ml,,,,0.83,ak,ak0227mron00,2022-06-15T14:25:34.578Z,"63 km NNW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-06-15T14:01:29.131Z,44.5851,-129.9916,10,4.2,mb,,206,4.355,0.81,us,us7000hhj9,2022-06-16T02:07:28.545Z,"off the coast of Oregon",earthquake,11,2,0.046,133,reviewed,us,us
2022-06-15T13:57:10.002Z,44.6348,-129.6167,10,3.8,mb,,201,4.099,0.66,us,us7000hhj7,2022-06-16T14:16:32.040Z,"off the coast of Oregon",earthquake,5.8,2,0.147,12,reviewed,us,us
2022-06-15T13:25:25.096Z,44.5354,-129.9744,10,4.1,mb,,191,4.336,1.04,us,us7000hhj0,2022-06-15T14:03:47.040Z,"off the coast of Oregon",earthquake,7.1,1.9,0.089,34,reviewed,us,us
2022-06-15T13:18:41.865Z,44.5193,-130.1263,10,4.3,mb,,170,4.441,0.98,us,us7000hhiy,2022-06-15T14:04:04.040Z,"off the coast of Oregon",earthquake,5.3,2,0.043,156,reviewed,us,us
2022-06-15T12:50:17.642Z,44.6174,-129.8205,10,4.3,mb,,189,4.24,0.74,us,us7000hhir,2022-06-15T17:01:05.545Z,"off the coast of Oregon",earthquake,11.7,2,0.068,61,reviewed,us,us
2022-06-15T11:56:32.639Z,44.4743,-130.2121,10,5.6,mww,,176,4.496,1.04,us,us7000hhik,2022-06-17T12:06:46.619Z,"off the coast of Oregon",earthquake,3.9,1.9,0.03,105,reviewed,us,us
2022-06-15T11:53:01.823Z,44.484,-129.9317,10,4,mb,,202,4.298,0.45,us,us7000hhii,2022-06-15T12:14:45.040Z,"off the coast of Oregon",earthquake,9.1,2,0.122,18,reviewed,us,us
2022-06-15T11:51:48.671Z,44.6184,-129.8462,10,4.2,mb,,204,4.258,0.63,us,us7000hhih,2022-06-15T12:03:06.040Z,"off the coast of Oregon",earthquake,11.7,2,0.066,64,reviewed,us,us
2022-06-15T11:50:32.335Z,26.5228,54.1364,10,4.4,mb,,121,2.438,0.55,us,us7000hhij,2022-06-15T19:20:44.204Z,"12 km ESE of K?sh, Iran",earthquake,8.1,1.9,0.095,32,reviewed,us,us
2022-06-15T11:22:33.287Z,0.4767,123.5635,248.79,4.3,mb,,68,1.703,0.65,us,us7000hhig,2022-06-15T12:20:05.040Z,"56 km E of Gorontalo, Indonesia",earthquake,9.8,9.5,0.129,17,reviewed,us,us
2022-06-15T09:54:08.114Z,44.5822,-129.6317,10,3.8,mb,,202,4.101,0.62,us,us7000hhi7,2022-06-15T10:14:01.040Z,"off the coast of Oregon",earthquake,11.6,2,0.207,6,reviewed,us,us
2022-06-15T09:45:05.239Z,32.21282959,-103.1010623,5.404500326,2.6,ml,9,80,0.1090826954,0.2,tx,tx2022lqfh,2022-06-15T16:45:47.707Z,"14 km NE of Jal, New Mexico",earthquake,1.474397607,2.432897774,0.1,7,reviewed,tx,tx
2022-06-15T09:37:48.553Z,26.4939,54.1159,10,4.1,mb,,122,2.434,0.38,us,us7000hhi3,2022-06-15T14:09:55.132Z,"11 km SE of K?sh, Iran",earthquake,9.3,1.9,0.109,23,reviewed,us,us
